Objects,diff_lard,diff_lrd,diff_ard,diff_ar,diff_ad,diff_lr,diff_ld,diff_lar,diff_lad
allen_wrench,-0.02,0,-0.05,-0.09,-0.01,-0.05,0.03,-0.07,-0.01
apple,0,0,-0.1,-0.09,-0.11,0,-0.01,0,-0.01
banana,0.02,0.01,0,-0.01,0.01,0.03,0.04,0.01,0.02
band_aid,0.01,-0.02,-0.02,0.02,0,0.01,0,0,0.01
bell_pepper,-0.01,-0.01,-0.01,-0.02,-0.01,0,0.01,-0.01,0.01
book,0.01,0,-0.03,-0.07,-0.02,-0.01,0.03,-0.01,0.01
bowl,0,0.01,-0.02,-0.01,-0.03,0,0,0,0
can_opener,0.04,0.05,0.01,0.02,0.02,0.05,0.05,0.04,0.07
cap,0,-0.07,-0.04,-0.04,0,-0.04,-0.01,-0.08,0.05
cell_phone,0.02,0,-0.08,-0.02,-0.11,0.13,0,0.05,-0.05
coffee_mug,-0.01,0,-0.04,-0.04,-0.04,0,-0.01,0,-0.01
eye_glasses,0.01,0.01,-0.03,0.01,0.01,0.05,0.03,0.04,0.03
flashlight,0.15,0.15,0.16,0.17,0.06,0.23,0.02,0.2,0.04
food_can,-0.02,-0.02,-0.09,-0.09,-0.09,-0.02,0,-0.02,-0.02
food_jar,0,0,-0.04,-0.02,-0.04,0,-0.01,0,0
fork,-0.02,0,-0.01,0.04,0.06,-0.02,0.01,-0.04,0.03
gauze,0.03,0,0.01,-0.04,0.09,-0.01,0.08,0,0.06
hammer,0.04,0.03,0.02,0,0.04,0.01,0.05,0.04,0.07
hand_towel,0.02,0.01,-0.09,-0.09,-0.08,0.03,0,0.04,-0.01
lemon,0.01,0.01,-0.03,-0.02,-0.03,0,-0.02,0.01,-0.01
lightbulb,-0.01,-0.01,-0.05,-0.03,-0.03,-0.04,0,-0.03,-0.01
lime,-0.02,-0.01,-0.02,-0.02,-0.05,0,0,-0.02,-0.01
marker,-0.02,-0.01,-0.02,0,-0.03,0.04,-0.03,0.02,-0.03
measuring_tape,0.01,0.01,0,0.02,-0.01,0.02,0,0.01,-0.01
medicine_bottle,0.01,-0.01,0,-0.01,-0.02,-0.01,0.01,0,-0.01
mouse,-0.01,0,-0.06,-0.07,-0.15,0.02,-0.09,0.03,-0.1
notebook,-0.01,0.01,-0.04,-0.05,0.02,0.03,0.03,-0.03,0.04
onion,0,0,-0.03,0.02,-0.01,0.02,0,0.01,0
pencil,-0.01,0,-0.08,-0.05,-0.07,0,-0.02,-0.01,-0.01
picture_frame,0,0.02,-0.04,-0.01,-0.06,0.03,0.01,0.01,-0.02
pill_cutter,-0.14,-0.15,-0.07,-0.04,-0.19,-0.22,-0.26,-0.08,-0.22
plate,0.01,0,-0.02,0,-0.01,0,0,0,0
pliers,0.01,0.01,0.01,0.01,-0.01,0.02,0.03,0,0.01
potato,-0.01,0,-0.01,-0.05,-0.02,0,0,0,-0.01
prescription_medicine_bottle,0,-0.02,-0.03,-0.04,-0.02,-0.01,-0.01,-0.01,-0.01
scissors,-0.01,0,0.02,0.01,0.03,-0.03,0.01,-0.01,0.02
screwdriver,-0.04,-0.07,0.03,0.01,-0.03,-0.09,-0.04,-0.07,-0.02
shampoo,0,0.01,-0.02,0,-0.02,0,-0.01,0.02,0
soda_bottle,0,0,-0.03,-0.04,-0.04,0.01,0,0,0
sponge,-0.05,-0.09,-0.03,0,-0.05,-0.03,-0.1,-0.02,-0.02
spoon,0.06,0.07,0.08,0.03,0.04,0.05,0.05,0.05,0.05
stapler,0.04,0.03,0.02,-0.01,0.04,-0.01,0.01,0.02,0.02
syringe,-0.01,-0.01,-0.04,0.01,-0.03,-0.01,-0.03,-0.01,-0.03
tissue_box,0.04,0.04,-0.01,-0.06,-0.03,-0.02,0.06,-0.03,0.05
toothbrush,0.03,0.01,0.04,0.03,0.05,0,0.01,0,0.02
toothpaste,0.04,0.02,0.03,0.06,0.01,0.06,-0.01,0.04,-0.01
water_bottle,0,0,-0.04,-0.03,-0.06,0.01,0,0,0.01